Constrant 1.0 Mu 1.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 44,95,1986.15095
iteration 45,109,1.10E+08
iteration 46,88,108.2891851
iteration 47,94,97.97567128
iteration 48,87,1.48E+10
iteration 49,86,1534.466319
Constrant 1.0 Mu 1.0 sigma 9.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,88,5633.827392
iteration 1,91,95.58582495
iteration 2,206,434.2685055
iteration 3,87,6.17E+07
iteration 4,89,89.00969337
iteration 5,94,95.95213564
iteration 6,91,93.64266458
iteration 7,120,1.77E+07
iteration 8,84,1636921.571
iteration 9,83,83.50594993
iteration 10,86,2.21E+07
iteration 11,73,548.1090849
iteration 12,78,2015.465315
iteration 13,75,7715235.482
iteration 14,78,15685.07056
iteration 15,77,187650.7578
iteration 16,79,1387.679446
iteration 17,76,4.46E+08
iteration 18,87,1.21E+07
iteration 19,88,222.0265998
iteration 20,81,116190.6865
iteration 21,73,40148.69393
iteration 22,91,4522.739068
iteration 23,77,324.7182034
iteration 24,89,98.98325018
iteration 25,80,687852.5638
iteration 26,84,10661.88819
iteration 27,76,1432.841713
iteration 28,81,987.8408944
iteration 29,81,305090.0544
iteration 30,72,2717.154404
iteration 31,79,245433.1418
iteration 32,76,90781.83896
iteration 33,75,229195.2541
iteration 34,76,6803.604815
iteration 35,77,112.6214884
iteration 36,150,59355.27846
iteration 37,98,1053.08093
iteration 38,93,487.7461333
iteration 39,97,226.1012258
iteration 40,99,99.43660547
iteration 41,91,2649085.36
iteration 42,97,135.0591575
iteration 43,85,92.16147786
iteration 44,86,40158.25873
iteration 45,80,2407.635145
iteration 46,80,436.4664118
iteration 47,84,1.29E+08
iteration 48,79,1.86E+07
iteration 49,76,61991.1641
Constrant 1.0 Mu 3.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,83,123.9955428
iteration 1,79,326.5673058
iteration 2,94,185.4053054
iteration 3,97,171.8820318
iteration 4,86,307.1617303
iteration 5,84,159.7178125
iteration 6,92,145.494326
iteration 7,91,156.5056335
iteration 8,82,149.8641782
iteration 9,86,209.2371852
iteration 10,74,210.0846346
iteration 11,75,296.889151
iteration 12,71,148.9358597
iteration 13,72,204.3467628
iteration 14,71,170.2313777
iteration 15,74,189.0667094
iteration 16,71,219.2272783
iteration 17,84,201.906021
iteration 18,70,447.0987089
iteration 19,77,233.556376
iteration 20,71,251.1787054
iteration 21,84,183.0095847
iteration 22,82,236.5458937
iteration 23,76,264.7177326
iteration 24,80,244.1702349
iteration 25,82,194.0184839
iteration 26,71,146.6453745
iteration 27,81,295.7372965
iteration 28,81,567.3162204
iteration 29,74,173.2302207
iteration 30,72,162.9591911
iteration 31,74,258.7877147
iteration 32,75,151.1531953
iteration 33,74,204.4670536
iteration 34,72,137.5812298
iteration 35,133,378.0175309
iteration 36,92,246.8569396
iteration 37,104,184.9563981
iteration 38,109,282.9405807
iteration 39,88,178.4304067
iteration 40,91,211.0034535
iteration 41,114,189.0953723
iteration 42,78,479.7582437
iteration 43,91,215.2301893
iteration 44,81,149.2024294
iteration 45,82,292.6345337
iteration 46,74,158.6731139
iteration 47,78,232.0807101
iteration 48,75,248.6847884
iteration 49,70,88.77225315
Constrant 1.0 Mu 3.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,88,477.3481526
iteration 1,83,282.9862127
iteration 2,87,227.1127829
iteration 3,76,416.7496512
iteration 4,76,212.1667561
iteration 5,85,402.5492359
iteration 6,75,344.9221777
iteration 7,95,365.6817836
iteration 8,72,1591.310234
iteration 9,70,186.7316207
iteration 10,73,650.3243531
iteration 11,68,131.252847
iteration 12,78,847.4039917
iteration 13,67,89.36530318
iteration 14,82,634.4608897
iteration 15,69,306.0172163
iteration 16,74,126.2127746
iteration 17,67,419.9015378
iteration 18,87,176.1576987
iteration 19,69,260.519892
iteration 20,69,132.0387439
iteration 21,67,92.77394324
iteration 22,72,336.6985083
iteration 23,70,1311.698441
iteration 24,71,188.2840903
iteration 25,72,359.3340579
iteration 26,71,964.1692278
iteration 27,70,286.6906756
iteration 28,74,652.3366683
iteration 29,71,178.0227051
iteration 30,97,352.5309298
iteration 31,70,1008.392643
iteration 32,72,1157.222986
iteration 33,73,172.6463365
iteration 34,182,620.0171026
iteration 35,91,351.3996375
iteration 36,97,1680.126295
iteration 37,92,355.4718854
iteration 38,85,218.7354912
iteration 39,91,13634.27525
iteration 40,101,706.5373583
iteration 41,87,285.278223
iteration 42,80,1470.937801
iteration 43,91,411.0641891
iteration 44,83,328.7466433
iteration 45,85,117.0399868
iteration 46,82,825.4011343
iteration 47,87,671.8755928
iteration 48,101,2322.226972
iteration 49,86,929.4258422
Constrant 1.0 Mu 3.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,87,154.7872983
iteration 1,94,650.8824014
iteration 2,85,1268.614992
iteration 3,79,1046.612203
iteration 4,97,307.9160552
iteration 5,88,3701.915859
iteration 6,86,29894.50375
iteration 7,77,618.4775383
iteration 8,74,3205.763018
iteration 9,81,61157.30271
iteration 10,74,1085.15287
iteration 11,71,550.2427327
iteration 12,80,122.3122619
iteration 13,80,347.7761555
iteration 14,74,10146.60748
iteration 15,85,25921.56516
iteration 16,70,6546.970631
iteration 17,83,111.3086852
iteration 18,73,690.683754
iteration 19,74,4646.214511
iteration 20,81,89.54874396
iteration 21,75,2975.674174
iteration 22,76,2170.349033
iteration 23,84,366.9206722
iteration 24,71,475.9617184
iteration 25,85,307.7620921
iteration 26,87,2486.752282
iteration 27,73,315.9033487
iteration 28,72,8993.720944
iteration 29,76,95.13261241
iteration 30,76,1703.017821
iteration 31,78,1106.018848
iteration 32,71,33028.89134
iteration 33,148,415.4544679
iteration 34,97,1153.471708
iteration 35,99,189.6722149
iteration 36,106,11472.72281
iteration 37,103,549.451466
iteration 38,100,5663.267326
iteration 39,91,2724.695941
iteration 40,88,11994.79602
iteration 41,80,4484.240738
iteration 42,87,2234.803042
iteration 43,90,1782.848533
iteration 44,91,558.5738586
iteration 45,89,593.8071104
iteration 46,94,8760.037365
iteration 47,95,2321.580061
iteration 48,79,84.79761631
iteration 49,77,43227.7693
Constrant 1.0 Mu 3.0 sigma 4.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,78,1358.105056
iteration 1,90,11074.74002
iteration 2,87,1973.730992
iteration 3,75,923.0824302
iteration 4,174,231.1057877
iteration 5,81,1173.063971
iteration 6,82,595.5348132
iteration 7,74,85.0359099
iteration 8,74,844.0095706
iteration 9,84,93.47026085
iteration 10,75,247.9646152
iteration 11,88,1233.682797
iteration 12,72,1034.613363
iteration 13,73,1243.003391
iteration 14,76,32908.2622
iteration 15,82,1019.517981
iteration 16,95,976.1994899
iteration 17,75,164.6354981
iteration 18,75,6580.774652
iteration 19,89,397.9371847
iteration 20,81,97.27446992
iteration 21,98,1127.143798
iteration 22,84,83859.93973
iteration 23,74,6118.280778
iteration 24,73,1734.383665
iteration 25,75,13182.53511
iteration 26,76,160.2133022
iteration 27,86,72493.13438
iteration 28,71,2892.901487
iteration 29,79,13878.16425
iteration 30,73,98085.64227
iteration 31,84,81506.9651
iteration 32,76,4893.482643
iteration 33,77,137.1658424
iteration 34,158,1228.031495
iteration 35,101,6939.006729
iteration 36,103,1372.112214
iteration 37,94,5424.382514
iteration 38,95,536.4807094
iteration 39,103,2108.83883
iteration 40,93,462.6996424
iteration 41,84,5072.325333
iteration 42,79,2111987.362
iteration 43,80,233.3752598
iteration 44,76,6446.978994
iteration 45,92,342.0993556
iteration 46,74,2051.462095
iteration 47,81,278.5723843
iteration 48,86,122.9790744
iteration 49,212,27451.67461
Constrant 1.0 Mu 3.0 sigma 5.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,91,337.2129184
iteration 1,76,8401.788696
iteration 2,187,50680.926
iteration 3,128,17562.42164
iteration 4,96,147.3939734
iteration 5,89,390945.8369
iteration 6,81,2662.789585
iteration 7,75,4159.959003
iteration 8,79,15136.02875
iteration 9,69,2876.328683
iteration 10,79,219517.066
iteration 11,73,121056.8671
iteration 12,77,8573.295632
iteration 13,75,97.39589602
iteration 14,78,905.4702616
iteration 15,74,16346.00899
iteration 16,77,67210.54696
iteration 17,70,454.768457
iteration 18,88,84974.65988
iteration 19,84,363.0735475
iteration 20,79,436670.2641
iteration 21,69,2509.366377
iteration 22,80,1413.274898
iteration 23,78,8888.483578
iteration 24,80,88.08938967
iteration 25,81,87.39701337
iteration 26,71,164721.3291
iteration 27,77,763.3999885
iteration 28,73,4883.382203
iteration 29,73,278.0732341
iteration 30,75,760.3977332
iteration 31,73,9929.290867
iteration 32,174,192.8691462
iteration 33,122,22379.02771
iteration 34,90,5213.528972
iteration 35,113,563677.7725
iteration 36,86,1578.261672
iteration 37,83,696.3843532
iteration 38,90,1079.476069
iteration 39,89,761.2983418
iteration 40,97,28909.92785
iteration 41,94,31909.89279
iteration 42,78,14013.73917
iteration 43,80,16400.96406
iteration 44,79,116.7222196
iteration 45,79,1594.517309
iteration 46,80,1195.719084
iteration 47,101,76903.358
iteration 48,93,105.2355802
iteration 49,87,151264.3926
Constrant 1.0 Mu 3.0 sigma 7.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,76,105376.7764
iteration 1,75,26861.47889
iteration 2,97,1208.375691
iteration 3,176,9.02E+07
iteration 4,79,565.6518747
iteration 5,90,108254.4679
iteration 6,74,4.88E+08
iteration 7,76,639196.5101
iteration 8,74,213168.5033
iteration 9,77,779.4123099
iteration 10,69,901983.2429
iteration 11,77,163.7928838
iteration 12,75,849.6101389
iteration 13,81,6073391.589
iteration 14,71,69592.03922
iteration 15,82,585770.1329
iteration 16,70,1.40E+09
iteration 17,77,8181.141693
iteration 18,76,40407.31999
iteration 19,73,1724.59574
iteration 20,80,65154.63188
iteration 21,72,1724996.483
iteration 22,72,65044.54909
iteration 23,81,82.3132576
iteration 24,83,257.2937608
iteration 25,73,117157.6585
iteration 26,74,2106.945936
iteration 27,85,90988.57236
iteration 28,76,4529.157425
iteration 29,80,20641.7363
iteration 30,78,8722.821973
iteration 31,160,22298.10892
iteration 32,94,274126.2469
iteration 33,103,41285.10758
iteration 34,99,442.3134817
iteration 35,103,3737.317564
iteration 36,88,2352.865189
iteration 37,111,340.1986619
iteration 38,91,3.27E+07
iteration 39,100,252857.3637
iteration 40,96,280.777632
iteration 41,97,24921.67318
iteration 42,86,25626.35763
iteration 43,77,81.10401458
iteration 44,101,1204.437656
iteration 45,79,5.80E+07
iteration 46,87,6618.917884
iteration 47,97,13754.35556
iteration 48,94,123.1646599
iteration 49,83,9.49E+08
Constrant 1.0 Mu 3.0 sigma 9.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,83,6554809.271
iteration 1,97,100.1355386
iteration 2,93,11885.98681
iteration 3,79,104.2930139
iteration 4,88,757.4608894
iteration 5,74,5.84E+09
iteration 6,77,9422950.83
iteration 7,89,99565.0382
iteration 8,75,2.91E+08
iteration 9,82,6.26E+07
iteration 10,77,139.354823
iteration 11,91,2.96E+13
iteration 12,95,559.1011397
iteration 13,86,1033258.517
iteration 14,76,1.20E+07
iteration 15,88,22332.9115
iteration 16,85,87.79950986
iteration 17,75,2.13E+07
iteration 18,81,85660.45013
iteration 19,78,1.26E+07
iteration 20,80,1430.84299
iteration 21,72,6788.528237
iteration 22,92,4977800.565
iteration 23,85,431217.7412
iteration 24,79,3168.143602
iteration 25,75,3.17E+08
iteration 26,76,75847.93925
iteration 27,70,15919.73754
iteration 28,72,434449.0613
iteration 29,71,113983.8163
iteration 30,117,1443598.798
iteration 31,98,8896153.807
iteration 32,97,52654.67033
iteration 33,94,541766.6219
iteration 34,99,129860.6172
iteration 35,101,73527.30269
iteration 36,89,23530.3579
iteration 37,90,588666.0102
iteration 38,101,5.01E+07
iteration 39,100,279.292955
iteration 40,88,99.00003381
iteration 41,86,262796.4235
iteration 42,80,1553.155202
iteration 43,89,1.17E+07
iteration 44,80,133.0882907
iteration 45,186,1.14E+07
iteration 46,86,5.16E+09
iteration 47,92,13553.10031
iteration 48,74,261509.3443
iteration 49,90,1238.005195
Constrant 1.0 Mu 5.0 sigma 1.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,87,1075.894109
iteration 1,85,3141.428587
iteration 2,76,2888.846927
iteration 3,87,1242.058402
iteration 4,74,537.5327582
iteration 5,79,539.8962818
iteration 6,78,5284.854952
iteration 7,85,2145.007162
iteration 8,73,496.9617531
iteration 9,75,942.9301153
iteration 10,77,751.7279278
iteration 11,78,413.8780593
iteration 12,76,2773.324919
iteration 13,75,761.2446308
iteration 14,70,425.2655544
iteration 15,85,952.3226674
iteration 16,75,669.2723283
iteration 17,82,709.8457737
iteration 18,71,646.6411677
iteration 19,71,974.9092164
iteration 20,68,1334.553886
iteration 21,77,606.9938499
iteration 22,74,1555.875588
iteration 23,74,2881.5404
iteration 24,73,743.1170464
iteration 25,73,599.0419716
iteration 26,68,397.3272598
iteration 27,71,984.7170201
iteration 28,73,1353.794112
iteration 29,411,1221.148871
iteration 30,115,559.5135478
iteration 31,98,1061.364845
iteration 32,93,500.4698598
iteration 33,98,3553.264118
iteration 34,102,1421.278458
iteration 35,107,851.5080354
iteration 36,92,709.7679021
iteration 37,84,739.8615944
iteration 38,100,585.5055407
iteration 39,84,314.2804714
iteration 40,104,1204.130338
iteration 41,80,801.8099479
iteration 42,100,1086.984114
iteration 43,83,327.0048196
iteration 44,95,536.7106077
iteration 45,87,317.9547062
iteration 46,91,725.4321842
iteration 47,78,1823.21869
iteration 48,86,1173.864991
iteration 49,109,705.0751507
Constrant 1.0 Mu 5.0 sigma 2.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,80,560.1421275
iteration 1,72,414.3696005
iteration 2,92,536.9211685
iteration 3,85,7868.699609
iteration 4,79,8885.362144
iteration 5,75,3053.334254
iteration 6,76,2817.017283
iteration 7,70,3960.873686
iteration 8,72,713.2893756
iteration 9,71,2283.247404
iteration 10,117,843.6474153
iteration 11,98,570.8860302
iteration 12,97,3243.217031
iteration 13,94,15713.1182
iteration 14,99,835.0220606
iteration 15,101,8958.423919
iteration 16,89,610.661567
iteration 17,90,5793.260509
iteration 18,101,14700.19711
iteration 19,100,23622.24203
iteration 20,88,1347.161577
iteration 21,86,1886.705913
iteration 22,80,493.29097
iteration 23,89,3462.40678
iteration 24,80,2049.63491
iteration 25,186,9097.356018
iteration 26,86,4418.84714
iteration 27,92,1232.414691
iteration 28,74,1346.903669
iteration 29,90,1844.845021
iteration 30,87,33775.18285
iteration 31,85,2685.225768
iteration 32,76,2170.822787
iteration 33,87,1790.516865
iteration 34,74,3818.849494
iteration 35,79,4578.359779
iteration 36,78,14098.23913
iteration 37,85,1994.548858
iteration 38,73,3220.906185
iteration 39,75,2852.446895
iteration 40,77,439.9563373
iteration 41,78,1019.079735
iteration 42,76,1273.224316
iteration 43,75,4821.228449
iteration 44,70,1516.794752
iteration 45,85,1953.657638
iteration 46,75,15640.18405
iteration 47,82,1992.284199
iteration 48,71,8567.503103
iteration 49,71,945.03606
Constrant 1.0 Mu 5.0 sigma 3.0, ResponseTime with Delay of C*e^(mu+Z*sigma) of the simulation,
iteration 0,79,2686.984539
iteration 1,73,2646.880584
iteration 2,77,972.7508813
iteration 3,75,1363.811591
iteration 4,78,1375.34212
iteration 5,74,263.1616893
iteration 6,77,1322.427529
iteration 7,70,8978.800097
iteration 8,88,399.87792
iteration 9,84,13298.03737
iteration 10,79,1592.145961
iteration 11,69,2558.976614
iteration 12,80,727.8865371
iteration 13,78,5932.319729
iteration 14,80,520.5947319
iteration 15,81,2397.834867
iteration 16,71,858.707158
iteration 17,77,447.4536274
